NOM COMPLET,CODE FVF,INDIC_ZH
Achillea ageratum L.,79865,Oui
Achillea ptarmica L.,79921,Oui
Aconitum burnatii Gayer.,80009,Oui
Aconitum napellus L.,80037,Oui
Acorus calamus L.,80086,Oui
Adenostyles briquetii Gamisans.,80185,Oui
Adenostyles leucophylla (Willd.) Rchb.,80190,Oui
Adiantum capillus-veneris L.,80198,Oui
Aeluropus littoralis (Gouan) Parl.,80329,Oui
Agrostis canina L.,80590,Oui
Agrostis gigantea Roth.,80639,Oui
Agrostis pourretii Willd.,80706,Oui
Agrostis stolonifera L.,80759,Oui
Alchemilla coriacea Buser.,81059,Oui
Alchemilla firma Buser.,81074,Oui
Alchemilla fissa Günther & Schummel.,81075,Oui
Alchemilla pentaphyllea L.,81140,Oui
Alisma gramineum Lej.,81260,Oui
Alisma lanceolatum With.,81263,Oui
Alisma plantago-aquatica L.,81272,Oui
Allium angulosum L.,81316,Oui
Allium neapolitanum Cirillo.,81445,Oui
Allium suaveolens Jacq.,81523,Oui
Allium triquetrum L.,81538,Oui
Alnus alnobetula (Ehrh.) K. Koch.,81563,Oui
Alnus cordata (Loisel.) Duby.,81567,Oui
Alnus glutinosa (L.) Gaertn.,81569,Oui
Alnus incana (L.) Moench.,81570,Oui
Alopecurus aequalis Sobol.,81610,Oui
Alopecurus bulbosus Gouan.,81624,Oui
Alopecurus geniculatus L.,81637,Oui
Alternanthera philoxeroides (Mart.) Griseb.,81831,Oui
Althaea officinalis L.,81856,Oui
"Anacamptis coriophora (L.) Bateman, Pridgeon & Chase.",82282,Oui
"Anacamptis laxiflora (Lam.) Bateman, Pridgeon & Chase.",82283,Oui
"Anacamptis palustris (Jacq.) Bateman, Pridgeon & Chase.",82286,Oui
Anagallis crassifolia Thore.,82328,Oui
Anagallis minima (L.) EHL Krause.,82335,Oui
Anagallis tenella (L.) L.,82346,Oui
Andromeda polifolia L.,82420,Oui
Angelica archangelica L.,82705,Oui
Angelica heterocarpa J. Lloyd.,82715,Oui
Angelica sylvestris L.,82738,Oui
Antinoria agrostidea (DC) Parl.,83001,Oui
